Address,Beds,Bath,Sqft,Price
401 Mohawk Pkwy Cape Coral FL,3,2,2332,318100
402 Mohawk Pkwy Cape Coral FL,3,2,1575,255700
408 Mohawk Pkwy Cape Coral FL,3,2,2006,517400
409 Mohawk Pkwy Cape Coral FL,3,2,1993,331600
412 Mohawk Pkwy Cape Coral FL,3,2,1751,402200
415 Mohawk Pkwy Cape Coral FL,3,2,1798,428300
419 Mohawk Pkwy Cape Coral FL,3,2,1851,348000
420 Mohawk Pkwy Cape Coral FL,2,1,1900,250809
423 Mohawk Pkwy Cape Coral FL,3,2,1700,329500
427 Mohawk Pkwy Cape Coral FL,4,2,1800,344200
428 Mohawk Pkwy Cape Coral FL,3,2,1524,490000
432 Mohawk Pkwy Cape Coral FL,4,2,2002,468300
436 Mohawk Pkwy Cape Coral FL,3,2,1372,381600
504 Mohawk Pkwy Cape Coral FL,3,3,2732,866500
516 Mohawk Pkwy Cape Coral FL,3,2,2017,500400
520 Mohawk Pkwy Cape Coral FL,2,2,1170,302600
523 Mohawk Pkwy Cape Coral FL,3,2,1425,237100
527 Mohawk Pkwy Cape Coral FL,3,2,1323,318800
528 Mohawk Pkwy Cape Coral FL,3,2,2203,605200
531 Mohawk Pkwy Cape Coral FL,2,2,1500,320000
532 Mohawk Pkwy Cape Coral FL,2,2,1808,414900
601 Mohawk Pkwy Cape Coral FL,3,2,1395,277300
602 Mohawk Pkwy Cape Coral FL,4,2,2336,599000
605 Mohawk Pkwy Cape Coral FL,3,2,1286,217900
606 Mohawk Pkwy Cape Coral FL,3,2,2056,568500
609 Mohawk Pkwy Cape Coral FL,3,2,1402,231500
620 Mohawk Pkwy Cape Coral FL,4,2,2099,531200
624 Mohawk Pkwy Cape Coral FL,3,2,1745,457200
628 Mohawk Pkwy Cape Coral FL,3,2,1267,331000
702 Mohawk Pkwy Cape Coral FL,2,2,1215,408500
706 Mohawk Pkwy Cape Coral FL,3,2,1594,481100
710 Mohawk Pkwy Cape Coral FL,4,2,2094,535400
722 Mohawk Pkwy Cape Coral FL,3,2,2852,419000
724 Mohawk Pkwy Cape Coral FL,6,4,2854,600000
824 Mohawk Pkwy Cape Coral FL,3,2,1558,481800
832 Mohawk Pkwy Cape Coral FL,3,2,1996,58300
836 Mohawk Pkwy Cape Coral FL,4,2,1992,577800
840 Mohawk Pkwy Cape Coral FL,3,3,2329,627600
844 Mohawk Pkwy Cape Coral FL,3,2,2668,680900
903 Mohawk Pkwy Cape Coral FL,3,2,1200,254800
904 Mohawk Pkwy Cape Coral FL,3,2,1743,513000
908 Mohawk Pkwy Cape Coral FL,4,2,2091,528000
912 Mohawk Pkwy Cape Coral FL,3,2,1785,545500
920 Mohawk Pkwy Cape Coral FL,3,2,2096,597300
924 Mohawk Pkwy Cape Coral FL,3,2,1735,539300
929 Mohawk Pkwy Cape Coral FL,3,2,1300,424700
932 Mohawk Pkwy Cape Coral FL,4,3,2556,653600
935 Mohawk Pkwy Cape Coral FL,4,3,1527,301700
936 Mohawk Pkwy Cape Coral FL,4,2,4197,623300
1007 Mohawk Pkwy Cape Coral FL,3,2,1438,277600
1008 Mohawk Pkwy Cape Coral FL,3,2,2300,643200
1011 Mohawk Pkwy Cape Coral FL,3,2,2051,308600
1012 Mohawk Pkwy Cape Coral FL,4,3,2500,862600
1015 Mohawk Pkwy Cape Coral FL,4,2,1498,277600
1106 Mohawk Pkwy Cape Coral FL,3,2,1230,229400
1107 Mohawk Pkwy Cape Coral FL,3,2,1513,258500
1110 Mohawk Pkwy Cape Coral FL,3,2,1469,289700
1123 Mohawk Pkwy Cape Coral FL,4,2,1980,454800
1128 Mohawk Pkwy Cape Coral FL,4,3,2348,546800
1132 Mohawk Pkwy Cape Coral FL,3,2,1212,264200
1133 Mohawk Pkwy Cape Coral FL,3,2,1400,277800
1136 Mohawk Pkwy Cape Coral FL,3,2,1212,296100
1140 Mohawk Pkwy Cape Coral FL,3,2,1212,233500
1141 Mohawk Pkwy Cape Coral FL,3,2,1448,251600
1144 Mohawk Pkwy Cape Coral FL,3,2,1435,249600
1145 Mohawk Pkwy Cape Coral FL,3,2,1283,328000
1148 Mohawk Pkwy Cape Coral FL,3,2,1964,333900
1152 Mohawk Pkwy Cape Coral FL,3,2,2011,376800
1157 Mohawk Pkwy Cape Coral FL,3,2,1400,278800
1205 Mohawk Pkwy Cape Coral FL,3,2,1816,499700
1208 Mohawk Pkwy Cape Coral FL,3,2,1684,576100
1214 Mohawk Pkwy Cape Coral FL,3,2,2243,601700
1305 Mohawk Pkwy Cape Coral FL,3,3,2000,389400
1310 Mohawk Pkwy Cape Coral FL,4,2,2337,697500
1314 Mohawk Pkwy Cape Coral FL,3,2,2522,635000
1403 Mohawk Pkwy Cape Coral FL,3,2,1363,243400
1407 Mohawk Pkwy Cape Coral FL,3,2,1272,286600
1411 Mohawk Pkwy Cape Coral FL,3,2,1479,313200
1415 Mohawk Pkwy Cape Coral FL,3,2,2125,400500
1418 Mohawk Pkwy Cape Coral FL,4,4,2656,784300
1423 Mohawk Pkwy Cape Coral FL,3,2,1323,316200
1427 Mohawk Pkwy Cape Coral FL,3,2,1400,268300
1503 Mohawk Pkwy Cape Coral FL,3,2,1464,308600
1507 Mohawk Pkwy Cape Coral FL,3,2,1448,263800
1511 Mohawk Pkwy Cape Coral FL,3,2,1226,253300
1512 Mohawk Pkwy Cape Coral FL,5,3,2174,496500
1526 Mohawk Pkwy Cape Coral FL,3,2,2421,950000
